Matricula,VIN,Año,Fabricante,Modelo,Categoria,DNI_Propietario
6482 JBL,VF7W7UKGCESZZ6JZB,2014,Citroën,Berlingo,monovolumen,64098594-D
GC-6011-AI,WVWM7RUM9NRZJYMKR,1992,Volkswagen,Polo,deportivo,64098594-D
7917 LNN,UU17JG3YFM3LM81KG,2021,Dacia,Lodgy,urbanos,96680090-G
4624 JSL,ZFA5632HSGN1PDSWR,2016,Fiat,Tipo,compacto,96680090-G
3179 CTT,SB1645T1V4PWNKGCL,2004,Toyota,RAV4,todoterreno,96680090-G
H-2509-IR,SB1ES33NMXZA8JSC2,1999,Toyota,Corolla,compacto,36691238-M
9252 DXZ,YV19AAU8S6VAMBKM1,2006,Volvo,XC90,todoterreno,84133192-C
8401 JVZ,WDBVR8FN8GDMV33ML,2016,Mercedes-Benz,GLC,SUV,45993542-M
MA-4397-ZF,VF1V2Z30HPAS908ZG,1993,Renault,Clio,urbanos,45993542-M
7909 LCY,WF0C29APXKNM75GKE,2019,Ford,Fiesta,deportivo,45993542-M
2790 LYZ,VF7T0GD27NKGPRZYD,2022,Citroën,Berlingo,monovolumen,74712449-P
TF-9122-PN,SJNZNLEU2WR20LDUK,1998,Nissan,Micra,urbanos,74712449-P
2136 CRV,W0LY7V6XK4CCMF2H5,2004,Opel,Corsa,urbanos,77750319-S
4329 HWM,KNAR5TGVWESLTMU9F,2014,Kia,Sportage,SUV,71523516-W
3312 JMF,WAUZTAGFGGJB7BHPW,2016,Audi,Q3,SUV,19593930-T
9572 LML,SJNEMSCDRME3UY5HX,2021,Nissan,X-Trail,todoterreno,19593930-T
3204 JBY,JMBGRN2MCEGVXT42T,2014,Mitsubishi,Outlander,SUV,19593930-T
3854 DCH,TMANVP0R540CHMMXW,2004,Hyundai,Tucson,SUV,74922635-C
4124 LMX,VF156PV73MD2EU7RT,2021,Renault,Mégane,compacto,74922635-C
5638 CMM,JMZFHHHTV3502TVBP,2003,Mazda,Mazda 3,deportivo,74922635-C
V-8844-HO,W0LFA14Z3LWCHRK73,1990,Opel,Corsa,urbanos,24478839-P
3378 FYY,W0LYDAWCU7K4XUKFG,2007,Opel,Astra,deportivo,45787566-V
2595 GVM,KNAMDBY6UA01PWZ25,2010,Kia,Rio,urbanos,53719790-R
6648 LKV,ZFAH6X60ZLZPRPS39,2020,Fiat,Tipo,berlina,71062611-V
Z-5289-UM,VF1RCDXPFMH0V1CGV,1991,Renault,Clio,urbanos,71062611-V
5448 MWD,VSSEWBEYXRSLYTSUW,2024,SEAT,Ateca,SUV,91409055-V
SO-8071-BE,SB14EH330T0H2LH4R,1996,Toyota,RAV4,SUV,91409055-V
7141 GMN,WVWND7AEA9VUYM3R3,2009,Volkswagen,Golf,compacto,91409055-V
CA-9434-BO,WDBLNA6JJP6E8L407,1993,Mercedes-Benz,Clase C,deportivo,24724436-B
GR-1519-DP,SB10SMC2ZSW83F2UW,1995,Toyota,RAV4,todoterreno,20013329-V
3976 GPW,WF06FNH4Z9X1K1PJH,2009,Ford,Kuga,SUV,59886461-G
1067 KRZ,TMBJJAKHKJND62FXK,2018,Skoda,Karoq,SUV,59886461-G
4418 JGR,YV1RPM9F2FXU7AL5K,2015,Volvo,XC60,SUV,59886461-G
8276 MCR,WF0W1J47CN6RYLWZK,2022,Ford,Fiesta,deportivo,72220385-V
TE-8907-IN,SB119LGG2S57EGRC2,1995,Toyota,RAV4,SUV,72220385-V
6526 HWY,W0LPJS1KMEZ8L15FP,2014,Opel,Mokka,SUV,72220385-V
8475 HML,WVWV51CDECFU7EDKP,2012,Volkswagen,Polo,deportivo,75464824-F
1051 JFG,TMAZ72ZA4FN93LDA8,2015,Hyundai,i20,urbanos,99438087-W
4374 CNK,WBAA6GM5G3BAFHZ0R,2003,BMW,Serie 3,descapotable,99438087-W
7871 CNK,JMZ5DD5FE3SC00DLC,2003,Mazda,Mazda 3,compacto,99438087-W
3550 LFY,WAU4LRDC6LCZW645Y,2020,Audi,A1,urbanos,65793170-Z
CU-3305-XW,SJNA8DEL3W9G93HB6,1998,Nissan,Micra,deportivo,65793170-Z
7382 LHG,UU1B4296WLTJPNXRS,2020,Dacia,Duster,SUV,63011232-H
7344 FGF,VSSKJRYH2662L0DXX,2006,SEAT,León,deportivo,63011232-H
3853 LVD,TMASVYF9PMCA70PHN,2021,Hyundai,Tucson,SUV,63011232-H
6254 HKL,JMZK0XSUDCU4SZLLY,2012,Mazda,Mazda 2,urbanos,53234115-V
9958 FCJ,VF1ZTRPVL6LKG701X,2006,Renault,Laguna,berlina,30037247-Y
6326 DSC,SJNFPX69V50E3ZYN8,2005,Nissan,Micra,deportivo,30037247-Y
3048 GXP,WAUG96LXPA9S532X8,2010,Audi,A4,sedán,81614416-C
LE-6998-YZ,WBA9VCGP2P6XGB1SS,1993,BMW,Serie 3,descapotable,81614416-C
6191 GLC,SB1NX6SDK9CDFYF4W,2009,Toyota,Auris,sedán,81614416-C
SO-9033-YY,W0LAXYPUENN3XD51R,1992,Opel,Corsa,deportivo,45768605-P
CS-5589-ZA,W0LV5UZY0NTDF208A,1992,Opel,Astra,deportivo,21980989-G
6257 LMC,WF0PSMF5ZLSCPZL6H,2020,Ford,Fiesta,urbanos,21980989-G
4082 GKH,ZFAL2N20L8R23960U,2008,Fiat,Panda,urbanos,21980989-G
5398 DYY,KNAZKSWHV6JTBVCD3,2006,Kia,Ceed,compacto,42947679-D
5295 BDR,VF7KA6Z16YKEPU956,2000,Citroën,Berlingo,monovolumen,21402649-E
8750 CLD,KNAF8AMX63JKX9X2N,2003,Kia,Rio,urbanos,21402649-E
3803 DHZ,KNA12DGZ75ABE57WZ,2005,Kia,Sportage,SUV,21402649-E
2781 KJV,JMZFNL2F9J1G6Z57U,2018,Mazda,CX-5,SUV,87850791-Z
7555 KHG,YV1FSFBDRJZULAACL,2018,Volvo,XC90,todoterreno,89913021-H
1447 JBY,UU106WPU4EG5LBA43,2014,Dacia,Duster,SUV,89913021-H
7600 LXS,TMB70BNELNLZ18JBH,2022,Skoda,Karoq,SUV,44080252-Q
4553 LLJ,VSS9GAHC5LYL3UXGK,2020,SEAT,León,compacto,44080252-Q
4743 CDC,JMB94AKDM21UKCLVK,2002,Mitsubishi,Outlander,todoterreno,44080252-Q
1072 LFY,TMAKGH024LBJMPKT3,2020,Hyundai,i20,urbanos,60179788-N
ML-8179-ZN,WVWNVZPDWVJRTKAWU,1997,Volkswagen,Golf,deportivo,60179788-N
3384 JHT,WDB6C32D4F2HU01K8,2015,Mercedes-Benz,Clase C,deportivo,77653283-Q
BI-7643-XL,WBARLPP94MZ78ACJR,1991,BMW,Serie 3,deportivo,31396795-R
Z-6389-FO,WVW3NULC6NVXD04RE,1992,Volkswagen,Polo,urbanos,51714982-B
9474 HZZ,WVWZF2LCHE07RJSX9,2014,Volkswagen,Golf,compacto,51714982-B
8865 HML,SJN38VUCGCKDGUWR5,2012,Nissan,Micra,urbanos,51714982-B
4881 HNC,JMBRVJSXNC1CF7AXF,2012,Mitsubishi,Outlander,todoterreno,89301060-H
CO-1098-OM,SJNJDH3EJNKJ832BA,1992,Nissan,Micra,deportivo,89301060-H
4637 JLN,YV16XWDG9GJ0WDNZW,2016,Volvo,V40,compacto,76874625-T
9437 CLD,JMZJ8ZYBM3H9X01XZ,2003,Mazda,Mazda 2,urbanos,76874625-T
9302 HLW,SB1688YZSCNRTA3DU,2012,Toyota,RAV4,todoterreno,76874625-T
8890 NDG,TMA555SDZSZSLGDBH,2025,Hyundai,i20,urbanos,59517491-T
8182 HMT,TMAK47396C6Y1YJ32,2012,Hyundai,Tucson,SUV,59517491-T
MU-7871-CY,VSSRVVDXRVY1LP6T6,1997,SEAT,Ibiza,urbanos,36940436-K
VI-5849-KB,WDBCX8S44WMBZJUES,1998,Mercedes-Benz,Clase C,descapotable,36940436-K
4684 GYX,YV19US3HXA9WFHALC,2010,Volvo,XC90,todoterreno,86041196-J
6644 JPK,VF3UM9AF6G9PJ9V10,2016,Peugeot,5008,SUV,86041196-J
2577 JJH,WAUA52YUGFLAVFU9R,2015,Audi,Q3,SUV,86041196-J
CO-1318-RX,TMB0BZD2UTW6J5V5G,1996,Skoda,Octavia,berlina,49704391-B
3432 JRZ,JMZ45GLWAG30AJ3ST,2016,Mazda,CX-3,SUV,49704391-B
5166 CTT,WDB0MZNJ24HZKUJAT,2004,Mercedes-Benz,Clase A,deportivo,49704391-B
MA-8500-YX,SJNWCFH72RSZMXUSV,1994,Nissan,Micra,urbanos,20657927-V
6869 CKB,WDB26W1M73RVL4W3H,2003,Mercedes-Benz,Clase A,deportivo,73536975-H
1957 FZR,SB1JYNDUL883DTNJT,2008,Toyota,Auris,sedán,73536975-H
2412 HVN,KNA08DALWECHPRT39,2014,Kia,Ceed,compacto,73536975-H
NA-7727-TI,VF15G1NPGNB01HME5,1992,Renault,Clio,urbanos,45321778-W
TF-1067-GH,SB1KA39CZTJCKZA4S,1996,Toyota,Corolla,compacto,45321778-W
6347 HTV,SB1RAVB63D1ZS14UN,2013,Toyota,Corolla,compacto,98134931-A
8158 FTP,VF1CP3BA37BCFJCBV,2007,Renault,Clio,urbanos,98134931-A
3478 KKR,TMBDPWX3GJVC3C7SC,2018,Skoda,Octavia,berlina,22073004-L
SS-7250-SN,WVWKSUK6ARUE4437B,1994,Volkswagen,Polo,deportivo,22073004-L
2347 MVL,VF1RZAMELRUBZBAYV,2024,Renault,Captur,SUV,22073004-L
3682 CPF,VSSBMPMJ13AWCPRFR,2003,SEAT,León,compacto,63304753-J
4801 KBM,YV14FUYAGHYJP57C5,2017,Volvo,XC90,SUV,63304753-J
HU-1057-PA,W0LSPJBBYN5X479DW,1992,Opel,Corsa,urbanos,15438812-Q
1015 MGN,JMB2A29XFP8NM0MUU,2023,Mitsubishi,ASX,SUV,15438812-Q
ML-4182-TT,SB1TMGWFJM8H29VRH,1991,Toyota,Corolla,compacto,81563188-J
GC-8403-HO,SJNK6UXHWLV6LL9VE,1990,Nissan,Micra,urbanos,32800246-S
4571 KVB,WDBSTHLWLKF0P1T2D,2019,Mercedes-Benz,Clase A,deportivo,32800246-S
2290 NGB,WF0685X28S4TYEYK2,2025,Ford,Fiesta,deportivo,32800246-S
ZA-5472-KP,YV1TV93P0T857KEFR,1996,Volvo,V40,compacto,59125146-N
7610 GFY,WVW47A7WY88HSZ1SE,2008,Volkswagen,Passat,sedán,59125146-N
CE-5891-NE,W0LFM42RDMKLU4WAC,1991,Opel,Astra,compacto,59125146-N
3217 DBJ,WF0D5WU6P4J7LU674,2004,Ford,Focus,deportivo,77307954-D
6693 FNZ,WAU4WH7CH7YRXBD32,2007,Audi,A4,sedán,22703795-N
6254 LWR,WAU01YSCPNEX97XJR,2022,Audi,A1,urbanos,22703795-N
8086 KZK,W0LJXBDD0K9MRWUE5,2019,Opel,Corsa,urbanos,22703795-N
4700 LWD,JMZT9HHL4NB6S8Z5G,2022,Mazda,CX-3,SUV,78446294-X
CC-9118-PA,W0LSH4019P2UKMS72,1993,Opel,Astra,deportivo,15887897-A
8337 FDP,WBALTG5LS61Z8P9SF,2006,BMW,Serie 3,cupé,15887897-A
9410 JLN,ZFAUM3J75G33CLCAG,2016,Fiat,Panda,urbanos,15887897-A
4706 JMY,SB1LTUASYGNSCYB7E,2016,Toyota,Auris,compacto,47561940-X
6073 LTD,TMA7CKKKYM7336UY1,2021,Hyundai,i10,urbanos,47561940-X
4556 JFX,VF3MR1R5JFDSPDWE6,2015,Peugeot,5008,SUV,47561940-X
SA-9973-HN,VSSLL4985MR40SW9V,1991,SEAT,Ibiza,deportivo,90709036-A
O-3169-XI,WVWFT2VJNP42ABS3S,1993,Volkswagen,Passat,berlina,90709036-A
1914 KCH,W0LVS3C7LHCF93N2X,2017,Opel,Astra,compacto,66781071-L
Z-2551-RZ,WBAKAULHJS55D6UNT,1995,BMW,Serie 3,deportivo,61022077-H
A-8795-BC,ZFA2LXYPSN2SBT8RG,1992,Fiat,Panda,urbanos,61022077-H
BU-9636-QU,SB1WSD0WCNXYGJY23,1992,Toyota,Corolla,sedán,47021160-Y
V-9411-AF,VSS34WUH3TJK06TZR,1996,SEAT,Toledo,berlina,39050207-W
AB-8407-UC,TMBHZTBJ1VEWJZ4JJ,1997,Skoda,Octavia,berlina,39050207-W
6158 MWV,WBAJJFSLGR83A7ADR,2024,BMW,Serie 3,cupé,14805619-J
9261 MJR,VSSZV74X1P4PJNCGX,2023,SEAT,León,deportivo,14805619-J
GU-3875-GD,ZFAPMZTZYST3E4JBH,1995,Fiat,Panda,urbanos,14743252-E
5185 LSR,WBA1GKJKUM9BGGVTZ,2021,BMW,Serie 1,compacto,14134887-F
MU-2610-BT,WBA3B7ZD1NSZ4T2E9,1992,BMW,Serie 3,berlina,14134887-F
3632 KSS,TMBV47KS7JWGWN9G5,2018,Skoda,Octavia,compacto,14134887-F
4234 MFG,VSSZDDMUGPKW01FYS,2023,SEAT,León,compacto,77595751-F
9647 DFZ,SB1X1UNWP54E0TTN2,2005,Toyota,Corolla,sedán,77595751-F
8620 BMW,KNA38YU891LL2R830,2001,Kia,Rio,urbanos,77595751-F
2597 HLW,SJNF2DJGRCPU976ZG,2012,Nissan,Micra,urbanos,29590942-Q
5634 MFG,WBAAF3F91P1ALEEKW,2023,BMW,Serie 1,compacto,13915582-F
8771 MCR,VSSN4JGLZNWJMDHH2,2022,SEAT,León,deportivo,13915582-F
CU-7735-FL,SB1LPAR77XCH483P9,1999,Toyota,RAV4,todoterreno,13915582-F
8278 DXZ,WAUW4PSCS6EB8GNE1,2006,Audi,A3,descapotable,78736576-D
3335 DCH,VF76SU7ZB4ZBZ4L3V,2004,Citroën,C3,urbanos,78736576-D
4649 DSC,WF0K4SWA9582S4N32,2005,Ford,Focus,berlina,99202872-P
2075 HRK,SJNU4ZASTDWB2V2RZ,2013,Nissan,Qashqai,SUV,99202872-P
BU-1277-RD,WVW6EWAGYL2YGM8EF,1990,Volkswagen,Passat,sedán,99202872-P
6902 HZZ,UU1FE8GP6E8MGA72G,2014,Dacia,Duster,SUV,55065382-R
2458 BTF,TMBXTLW382HGB6675,2002,Skoda,Fabia,urbanos,40233401-F
M-1042-TP,ZFAU5PHU7N26TJPK7,1992,Fiat,Panda,urbanos,97225227-H
CR-3303-YK,WVWMDSF1KRLRGWLFB,1994,Volkswagen,Passat,berlina,97225227-H
5323 KSS,WF06A3FCZJUAN7JHB,2018,Ford,Kuga,todoterreno,97225227-H
9735 KMM,TMA6W9H5NJFB2EWE6,2018,Hyundai,i30,compacto,56157701-G
6082 NFC,ZFAJM7FGNS8ZYV5GE,2025,Fiat,Panda,urbanos,41343141-C
2836 FSJ,SB1UTD0N17KAJJLC3,2007,Toyota,Auris,sedán,69653586-H
2846 KTJ,VSSLVVDTHK3NWMAB9,2019,SEAT,León,berlina,57065465-G
7707 BRB,VF15T3AYS12P52WFP,2001,Renault,Mégane,deportivo,94980750-L
9713 BLC,WDBUNSHXV1XLUNF95,2001,Mercedes-Benz,Clase C,deportivo,94980750-L
AB-7233-DC,VF7VPX8LDXHEZARX9,1999,Citroën,Berlingo,monovolumen,94980750-L
6110 CRV,WBAJ4ZDW94J7TY71D,2004,BMW,Serie 3,deportivo,32379436-J
4431 HNK,YV132EVLHCKR26ZCA,2012,Volvo,XC60,SUV,32379436-J
5183 LXD,TMB98PG3KNJ84DX4H,2022,Skoda,Octavia,berlina,35580122-L
7574 JVH,SJND98EFUGL5TR4ML,2016,Nissan,Qashqai,SUV,35580122-L
SS-2652-VL,SJNS82B1PRJH5GDMN,1994,Nissan,Micra,deportivo,47569547-G
3345 HCB,VF7B66RS6BB5SJB0H,2011,Citroën,C3,urbanos,47569547-G
1910 LYZ,VF3NZ6L9LNPF0BYS0,2022,Peugeot,308,compacto,47569547-G
3416 DVW,SB12F2YBC6K6S2FW3,2006,Toyota,Auris,compacto,60299384-P
4503 KZK,VSSKM4RZ5KPT713AY,2019,SEAT,Toledo,sedán,77465669-J
2600 BMF,WVW0TTCEE1J42JZW2,2001,Volkswagen,Golf,deportivo,77465669-J
1125 KLN,VF7NKT8ZRJWJWUU22,2018,Citroën,Berlingo,todoterreno,77465669-J
3808 HSR,UU1VZJKN1DXPM178Z,2013,Dacia,Lodgy,urbanos,35537804-K
SO-3191-UP,TMB78RAS5WJ22MHRH,1998,Skoda,Octavia,berlina,69347841-N
SE-6678-DY,VSSUX3GY9LGY48GM4,1990,SEAT,Ibiza,urbanos,82615871-D
1133 JZP,VF7Y5ETDWHKL7XXUB,2017,Citroën,C3,urbanos,64360553-K
AB-4782-NL,WF0PV8YC9P5S1XZX2,1993,Ford,Mondeo,berlina,85010230-E
8452 DDG,YV1XZHZ2L4TZKDX2B,2004,Volvo,V40,compacto,85010230-E
AL-9407-VW,SB1PK5NUBMN2TUXPW,1991,Toyota,Corolla,compacto,92165578-R
VI-8396-GJ,SJNE3RM1WV07M2LKY,1997,Nissan,Micra,urbanos,92165578-R
SG-3324-ZN,SB1RNX80LRZD3SS0M,1994,Toyota,Corolla,sedán,92165578-R
1410 LGH,YV1DJ6ZFWLAC5FUX2,2020,Volvo,XC40,SUV,96500528-A
6518 KVB,YV1W1BK24KPV4E0YL,2019,Volvo,XC60,SUV,96500528-A
J-1016-KC,W0L4R6P3UPFMV15D2,1993,Opel,Corsa,urbanos,22621467-R
2082 GZJ,VF1V3VKYXAPLYL216,2010,Renault,Mégane,deportivo,22621467-R
C-7231-FX,WVWHNN2MMSP3SSK0Z,1995,Volkswagen,Polo,deportivo,12945260-D
3998 LTD,WVWJ6L5KHMYF917LN,2021,Volkswagen,Golf,compacto,12945260-D
5724 MHG,ZFA1FJCY3PDXMMMF6,2023,Fiat,Panda,urbanos,12945260-D
H-2248-LF,W0LJMA309XJTWEU32,1999,Opel,Astra,compacto,19958824-E
2424 CWR,WVW8NDNCN4PCS5HCT,2004,Volkswagen,Polo,urbanos,19958824-E
6392 CDC,WVW4YY0FU2GE1ZZ6N,2002,Volkswagen,Polo,urbanos,19958824-E
9493 BTF,SB1ER2VYM23KDNYNA,2002,Toyota,Yaris,urbanos,32009528-Z
MU-4325-JP,WVW63ZWFEXYX28HNT,1999,Volkswagen,Polo,deportivo,32009528-Z
9481 JMF,VSS3B42X1G1DYKHS9,2016,SEAT,Toledo,berlina,32009528-Z
2227 MYW,SB1RJ50Z9SVNGFE6U,2025,Toyota,RAV4,SUV,85248789-W
3783 MYW,JMZLWKLWVST6M0ML8,2025,Mazda,CX-3,SUV,30790319-N
1054 LHG,TMBSA8PZRL85MWSDR,2020,Skoda,Kodiaq,SUV,30790319-N
1424 GNF,VF7HD5K8A94G8F91B,2009,Citroën,Berlingo,monovolumen,30790319-N
8904 BWT,JMBJMSGA12E5XE86M,2002,Mitsubishi,Outlander,todoterreno,98877517-B
2652 GYD,SB1XTDN3TADXDFG71,2010,Toyota,RAV4,todoterreno,98877517-B
4195 NCJ,SJNWY7P38SS8TMWW3,2025,Nissan,X-Trail,todoterreno,98877517-B
2258 LKV,WVWLBHALXL0GHKRP7,2020,Volkswagen,Golf,descapotable,79739204-K
2888 CFM,VF1A8EJSN3GX8F293,2003,Renault,Clio,urbanos,79739204-K
8745 HMD,WF0CWKRMDCMEZW7H3,2012,Ford,Mondeo,sedán,82675035-V
CE-2667-JH,WVWNMBSFDP3Y5NN4J,1993,Volkswagen,Polo,urbanos,77559391-X
M-7453-TQ,VSSGST6TNRKC0BWCW,1994,SEAT,Toledo,berlina,77559391-X
9696 LCG,VF11AXWKUKDN3BX3A,2019,Renault,Clio,deportivo,50858066-Y
Z-8336-XD,VF1PA2B8LRZLP5RNB,1994,Renault,Clio,urbanos,62736014-H
2851 JBL,WBA0C9166E3D66SHW,2014,BMW,Serie 3,descapotable,62736014-H
9807 MYF,YV1NVBT0KSPUYMH97,2025,Volvo,XC60,SUV,74645620-V
3404 HWM,SJN5C81NNETLD2E68,2014,Nissan,X-Trail,SUV,38516290-F
1003 CVR,VSSRWV1S24J65MZFY,2004,SEAT,León,compacto,15403154-P
8459 MVL,JMBL2U6G5RCBGDEPV,2024,Mitsubishi,Eclipse Cross,SUV,69175105-Y
3136 GTC,WAU2P95FHA6MTR7PF,2010,Audi,A4,berlina,69175105-Y
C-6819-FJ,WVW2V17CMSMWG0B8T,1995,Volkswagen,Passat,berlina,69175105-Y
3877 DWT,VF73EPVYW6ZSSDM42,2006,Citroën,C3,urbanos,90598780-D
6439 KBM,SJNWVP6TBHK19UHF7,2017,Nissan,X-Trail,todoterreno,60032470-D
PM-8087-KG,WF0RW1GZAML3VBVCY,1991,Ford,Fiesta,deportivo,60032470-D
MU-2246-UK,ZFA1DMF8EPRURHTDF,1993,Fiat,Panda,urbanos,60032470-D
4711 JFX,SJNS4KTP1F6AH8YTZ,2015,Nissan,X-Trail,SUV,99953815-R
5001 JTR,JMZBUBD7VGYTFWX1M,2016,Mazda,CX-3,SUV,99953815-R
1647 LFY,WAUCSPMXDL48SSLAK,2020,Audi,A3,compacto,99953815-R
5948 HJC,SJNS2PWHVCGNCZECU,2012,Nissan,X-Trail,SUV,99072509-D
7612 BVW,WF09JC7PL2KRLSGUA,2002,Ford,Fiesta,deportivo,99072509-D
9918 JBY,SB132Y127EA8A249G,2014,Toyota,RAV4,todoterreno,69350846-G
6015 DPK,ZFAD90W2L595Z3G2N,2005,Fiat,Panda,urbanos,69350846-G
3352 HJC,WDB9LFZ04C4K0PNUE,2012,Mercedes-Benz,Clase A,deportivo,84975839-Q
1850 MZS,WVW6GT3TBSR340N1P,2025,Volkswagen,Tiguan,SUV,16237174-W
